molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit
443.47,7.24,20.23,1,1,443.4690000000001,7.2361000000000075,20.23,1.0,1.0,1.0
302.4,0.61,75.71,1,5,302.3960000000001,0.6101000000000001,75.71000000000001,1.0,5.0,5.0
529.59,4.45,141.61,4,8,529.5930000000003,4.447520000000003,141.61,4.0,8.0,8.0
556.57,4.28,131.75,3,9,556.5670000000003,4.279700000000004,131.75000000000003,3.0,9.0,5.0
375.33,-1.4,157.52,1,10,375.33000000000015,-1.402699999999996,157.52,1.0,10.0,6.0
417.46,2.74,115.07,2,6,417.45800000000025,2.73552,115.07000000000001,2.0,6.0,6.0
344.63,8.72,0.0,0,0,344.627,8.717340000000004,0.0,0.0,0.0,16.0
274.36,4.24,46.53,1,3,274.35999999999996,4.241700000000003,46.53,1.0,3.0,6.0
402.49,4.79,60.44,0,4,402.49000000000007,4.785100000000004,60.440000000000005,0.0,4.0,3.0
933.58,19.8,78.9,0,6,933.5819999999989,19.79529999999999,78.9,0.0,6.0,55.0
356.42,1.89,81.62,2,5,356.4220000000001,1.8943999999999999,81.62,2.0,5.0,2.0
866.78,4.44,331.14,15,18,866.7810000000004,4.443900000000016,331.14000000000004,15.0,18.0,5.0
773.67,-0.47,317.28,12,18,773.6730000000006,-0.4694000000000003,317.28000000000003,12.0,18.0,10.0
780.08,11.05,111.19,0,8,780.0809999999996,11.052199999999992,111.19,0.0,8.0,37.0
765.26,14.97,78.9,0,6,765.2579999999998,14.969999999999967,78.9,0.0,6.0,42.0
385.42,5.03,68.54,1,4,385.4190000000001,5.029320000000004,68.53999999999999,1.0,4.0,4.0
610.52,-1.31,269.43,10,16,610.5210000000005,-1.3050000000000008,269.42999999999995,10.0,16.0,5.0
516.52,-3.31,314.22,11,8,516.5220000000004,-3.312730000000001,314.21999999999997,11.0,8.0,16.0
416.51,3.39,107.22,4,6,416.5140000000002,3.3930000000000025,107.22000000000001,4.0,6.0,4.0
339.52,5.08,66.4,2,2,339.52,5.080600000000005,66.4,2.0,2.0,16.0
390.47,-0.41,136.68,5,8,390.473,-0.4145999999999994,136.68,5.0,8.0,7.0
534.56,-2.26,201.67,6,13,534.5550000000003,-2.2625999999999946,201.67,6.0,13.0,9.0
380.44,0.39,113.29,3,7,380.4370000000001,0.3901999999999997,113.29000000000002,3.0,7.0,0.0
1045.84,23.92,61.83,0,5,1045.841999999998,23.923700000000025,61.83,0.0,5.0,66.0
481.66,4.91,88.05,1,6,481.6550000000002,4.908900000000004,88.05,1.0,6.0,23.0
429.56,2.15,94.91,2,5,429.5570000000002,2.1454999999999993,94.91000000000001,2.0,5.0,3.0
386.66,7.39,20.23,1,1,386.6640000000002,7.388700000000009,20.23,1.0,1.0,5.0
570.46,0.57,226.56,6,14,570.4590000000002,0.5733999999999998,226.56,6.0,14.0,6.0
284.35,1.08,83.83,2,5,284.35200000000003,1.0787999999999993,83.83000000000001,2.0,5.0,5.0
518.69,4.24,135.29,5,5,518.6910000000003,4.241500000000003,135.29,5.0,5.0,3.0
543.66,4.24,96.97,2,5,543.6640000000003,4.240400000000003,96.97,2.0,5.0,7.0
454.53,-1.67,135.45,3,9,454.5260000000002,-1.666499999999998,135.45,3.0,9.0,1.0
412.49,2.84,69.59,0,7,412.48600000000016,2.8435000000000015,69.59,0.0,7.0,4.0
580.5,-1.78,249.2,9,15,580.4950000000002,-1.7796,249.19999999999993,9.0,15.0,7.0
695.12,13.16,78.9,0,6,695.1229999999998,13.163599999999978,78.9,0.0,6.0,38.0
596.89,7.06,116.45,4,7,596.8900000000004,7.061300000000011,116.45,4.0,7.0,26.0
949.45,18.2,78.9,0,6,949.4549999999996,18.197699999999976,78.9,0.0,6.0,46.0
284.31,3.13,74.6,2,3,284.311,3.131800000000001,74.6,2.0,3.0,4.0
1179.56,13.05,201.94,11,10,1179.5600000000004,13.046999999999978,201.93999999999997,11.0,10.0,13.0
730.12,1.27,235.42,6,15,730.1190000000005,1.2740000000000005,235.41999999999996,6.0,14.0,5.0
389.45,4.83,72.45,1,4,389.4510000000001,4.8293200000000045,72.45,1.0,4.0,5.0
1460.04,23.9,236.95,3,15,1460.0379999999996,23.898500000000023,236.94999999999993,3.0,15.0,79.0
1019.05,8.62,302.57,8,14,1019.0459999999997,8.622700000000012,302.57,8.0,14.0,40.0
220.5,2.99,26.02,1,1,220.497,2.9931200000000002,26.02,1.0,1.0,0.0
887.77,0.16,338.65,10,20,887.7730000000004,0.16219999999999907,338.65000000000003,10.0,20.0,15.0
468.41,2.4,177.14,7,10,468.4140000000002,2.3983000000000017,177.14,7.0,10.0,2.0
382.61,6.26,9.23,0,1,382.612,6.259900000000007,9.23,0.0,1.0,5.0
239.36,2.96,29.54,0,2,239.35899999999995,2.963800000000001,29.540000000000003,0.0,2.0,5.0
295.42,1.77,49.77,1,4,295.423,1.7687999999999997,49.77,1.0,4.0,2.0
1083.32,3.54,266.28,6,20,1083.316,3.5446000000000106,266.28,6.0,20.0,17.0
265.36,0.46,92.26,3,5,265.35699999999997,0.45910000000000006,92.26,3.0,5.0,4.0
1104.49,1.83,314.47,11,12,1104.489999999999,1.8348999999999938,314.46999999999997,11.0,12.0,32.0
342.35,2.55,97.75,2,6,342.35100000000006,2.5485000000000007,97.75,2.0,6.0,4.0
236.35,2.81,40.46,2,2,236.355,2.8109000000000015,40.46,2.0,2.0,0.0
456.71,7.23,57.53,2,2,456.7110000000003,7.233600000000009,57.53,2.0,2.0,1.0
372.37,-1.02,134.91,4,9,372.37000000000006,-1.0204999999999995,134.91000000000003,4.0,9.0,7.0
275.26,1.28,112.41,3,5,275.264,1.27802,112.41000000000001,3.0,5.0,5.0
538.86,8.51,52.99,2,3,538.8570000000004,8.509700000000008,52.99,2.0,3.0,5.0
504.44,-7.57,268.68,11,16,504.4380000000001,-7.572999999999989,268.67999999999995,11.0,16.0,10.0
340.47,2.74,37.63,1,4,340.4670000000001,2.7392000000000016,37.629999999999995,1.0,3.0,1.0
639.62,5.16,90.98,2,5,639.6240000000001,5.155400000000004,90.98,2.0,5.0,9.0
765.26,14.83,78.9,0,6,765.2579999999998,14.825899999999969,78.9,0.0,6.0,41.0
988.02,-6.1,435.93,16,20,988.019,-6.095730000000019,435.93,16.0,19.0,24.0
232.32,3.24,26.3,0,2,232.32299999999992,3.2406000000000024,26.3,0.0,2.0,0.0
553.66,6.64,94.84,1,6,553.6550000000003,6.638840000000007,94.83999999999999,1.0,6.0,8.0
298.3,2.59,70.54,0,6,298.29800000000006,2.5868,70.54,0.0,6.0,3.0
423.42,3.38,80.75,0,5,423.4240000000002,3.381700000000002,80.75,0.0,5.0,2.0
336.86,3.28,76.66,2,4,336.8600000000001,3.2841000000000022,76.66,2.0,4.0,12.0
304.38,1.28,92.64,3,5,304.375,1.2841999999999996,92.63999999999999,3.0,4.0,3.0
534.69,2.12,152.36,5,8,534.6900000000003,2.1232999999999995,152.35999999999999,5.0,8.0,5.0
353.38,2.61,86.48,1,6,353.37800000000004,2.6076000000000006,86.48,1.0,6.0,7.0
904.99,-3.72,353.9,13,22,904.9940000000007,-3.71819999999999,353.90000000000003,13.0,22.0,24.0
411.5,1.16,77.43,3,7,411.5020000000002,1.1571999999999996,77.43,3.0,7.0,5.0
458.5,-1.1,162.98,5,10,458.5040000000002,-1.096999999999998,162.98,5.0,10.0,5.0
